duration,opt,NumberOfEvaluations,GreedySolution,Run,Solver,AbsoluteImprovement,RelativeImprovement,Szenario
698,572281.606301253,576000,247854.539273618,0,GA,42737.24742977103,0.1724287461307756,MEP-Big
0,247854.539273618,0,247854.539273618,0,Greedy,0,0,MEP-Big
1,258922.984168494,0,247854.539273618,0,Insertion,11068.444894876011,0.044657019102067146,MEP-Big
698,572281.606301253,576000,247854.539273618,0,GA,42737.24742977103,0.1724287461307756,MEP-Big
0,247854.539273618,0,247854.539273618,0,Greedy,0,0,MEP-Big
1,258922.984168494,0,247854.539273618,0,Insertion,11068.444894876011,0.044657019102067146,MEP-Big
271,579889.862098804,110000,247854.539273618,0,SA,48581.18743982,0.19600684975226135,MEP-Big
8,250831.861053692,0,247854.539273618,0,Savings,2977.3217800740094,0.0120123754392378,MEP-Big
458,567767.889154508,319000,247854.539273618,1,GA,40570.41277230202,0.16368638190448664,MEP-Big
273,577631.306169705,110000,247854.539273618,1,SA,41349.094697197,0.16682807108708966,MEP-Big
514,567634.7439303871,324000,247854.539273618,2,GA,36318.36949297003,0.14653098385612584,MEP-Big
268,585873.756385426,110000,247854.539273618,2,SA,47580.03109031802,0.1919675598024543,MEP-Big
942,573983.118336223,1022000,247854.539273618,3,GA,41628.740667026985,0.16795633757213987,MEP-Big
264,580408.260984198,110000,247854.539273618,3,SA,43026.86829225902,0.17359725756226596,MEP-Big
603,566491.801167032,434000,247854.539273618,4,GA,37392.23827824401,0.1508636411817538,MEP-Big
263,590067.088679055,110000,247854.539273618,4,SA,51516.66252534199,0.20785038949183976,MEP-Big
388,559035.145898666,200000,247854.539273618,5,GA,34097.82201123799,0.137571908552362,MEP-Big
261,587532.3422294171,110000,247854.539273618,5,SA,47953.135901253,0.19347289761885433,MEP-Big
620,571977.684589342,581000,247854.539273618,6,GA,42250.77715785502,0.17046602124648783,MEP-Big
268,575920.814561793,110000,247854.539273618,6,SA,40941.62813298803,0.16518409649859464,MEP-Big
830,583180.4933812411,802000,247854.539273618,7,GA,51719.55180600603,0.20866897155718597,MEP-Big
260,580165.416406905,110000,247854.539273618,7,SA,43585.33827748001,0.17585047425483766,MEP-Big
678,565936.83887349,631000,247854.539273618,8,GA,39521.197315625,0.1594531915027618,MEP-Big
261,590697.599355483,110000,247854.539273618,8,SA,50848.83944669299,0.2051559741278679,MEP-Big
464,565509.555792925,334000,247854.539273618,9,GA,40544.211654530984,0.16358067023243972,MEP-Big
272,572565.2664477921,110000,247854.539273618,9,SA,44334.237458610005,0.17887200124935942,MEP-Big
382,559609.250556348,200000,247854.539273618,10,GA,32725.34040742999,0.13203446062895377,MEP-Big
259,584203.47161029,110000,247854.539273618,10,SA,49310.812816288,0.19895061418202042,MEP-Big
