city;city_ascii;lat;lng;pop;country;iso2;iso3;province
Bregenz;Bregenz;47,51669707;9,766701588;26928;Austria;AT;AUT;Vorarlberg
Eisenstadt;Eisenstadt;47,83329908;16,53329747;13165;Austria;AT;AUT;Burgenland
Wiener Neustadt;Wiener Neustadt;47,81598187;16,24995357;60621,5;Austria;AT;AUT;Niederösterreich
Graz;Graz;47,0777582;15,41000484;242780;Austria;AT;AUT;Steiermark
Klagenfurt;Klagenfurt;46,62034426;14,3100203;88588;Austria;AT;AUT;Kärnten
Linz;Linz;48,31923281;14,28878129;265161,5;Austria;AT;AUT;Oberösterreich
Passau;Passau;48,56704714;13,46660925;50000;Austria;AT;AUT;Oberösterreich
Salzburg;Salzburg;47,81047833;13,0400203;178274;Austria;AT;AUT;Salzburg
Innsbruck;Innsbruck;47,28040733;11,4099906;133840,5;Austria;AT;AUT;Tirol
Vienna;Vienna;48,20001528;16,36663896;2065500;Austria;AT;AUT;Wien
Mons;Mons;50,44599911;3,939003561;91277;Belgium;BE;BEL;Hainaut
Hasselt;Hasselt;50,96400317;5,483997561;69222;Belgium;BE;BEL;Limburg
Arlon;Arlon;49,68330313;5,816700472;26179;Belgium;BE;BEL;Arlon
Gent;Gent;51,02999758;3,700021931;337914,5;Belgium;BE;BEL;East Flanders
Liege;Liege;50,62999615;5,580010537;472803;Belgium;BE;BEL;Liege
Brugge;Brugge;51,22037355;3,230024779;131589;Belgium;BE;BEL;Brugge
Namur;Namur;50,47039349;4,870028034;97155,5;Belgium;BE;BEL;Namur
Charleroi;Charleroi;50,42039654;4,450001992;272749,5;Belgium;BE;BEL;Charleroi
Antwerpen;Antwerpen;51,22037355;4,415017048;689902,5;Belgium;BE;BEL;Antwerp
Brussels;Brussels;50,83331708;4,333316608;1381011;Belgium;BE;BEL;Brussels
Usti Nad Labem;Usti Nad Labem;50,66299816;14,08100455;94105;Czech Republic;CZ;CZE;Liberecký
Hradec Kralove;Hradec Kralove;50,20599617;15,81200153;95195;Czech Republic;CZ;CZE;Královéhradecký
Ceske Budejovice;Ceske Budejovice;48,98001935;14,46003699;97452;Czech Republic;CZ;CZE;Jihoceský
Liberec;Liberec;50,79995994;15,07999914;99972,5;Czech Republic;CZ;CZE;Liberecký
Olomouc;Olomouc;49,63003135;17,24999589;97829;Czech Republic;CZ;CZE;Moravskoslezský
Pizen;Pizen;49,74043805;13,36000077;161043;Czech Republic;CZ;CZE;Karlovarský
Jihlava;Jihlava;49,40038129;15,58332759;52010,5;Czech Republic;CZ;CZE;Kraj Vysocina
Zlin;Zlin;49,2304175;17,65002315;101893,5;Czech Republic;CZ;CZE;Kraj Vysocina
Brno;Brno;49,20039349;16,60998328;378918;Czech Republic;CZ;CZE;Kraj Vysocina
Pardubice;Pardubice;50,04041974;15,76000932;97902,5;Czech Republic;CZ;CZE;Královéhradecký
Ostrava;Ostrava;49,83035504;18,24998653;396025,5;Czech Republic;CZ;CZE;Moravskoslezský
Prague;Prague;50,08333701;14,46597978;582043,5;Czech Republic;CZ;CZE;Prague
Annecy;Annecy;45,89997479;6,116670287;77490,5;France;FR;FRA;Rhône-Alpes
Roanne;Roanne;46,03332583;4,066666218;56577,5;France;FR;FRA;Rhône-Alpes
Roura;Roura;4,729981302;-52,33002059;2069,5;France;GF;FRA;Guinaa
Sinnamary;Sinnamary;5,380019144;-52,95998214;2781,5;France;GF;FRA;Guinaa
St,-Brieuc;St,-Brieuc;48,51666262;-2,783303265;52998,5;France;FR;FRA;Bretagne
Poitier;Poitier;46,58329226;0,333276529;85383,5;France;FR;FRA;Poitou-Charentes
Angers;Angers;47,48000755;-0,530029949;178329,5;France;FR;FRA;Pays de la Loire
Biarritz;Biarritz;43,47327537;-1,561594891;89268;France;FR;FRA;Aquitaine
Aix-en-Provence;Aix-en-Provence;43,51999086;5,449992634;145309;France;FR;FRA;Provence-Alpes-Côte-d'Azur
Perpignan;Perpignan;42,69998924;2,899967406;128663;France;FR;FRA;Languedoc-Roussillon
Tarbes;Tarbes;43,23329002;0,083343464;53480;France;FR;FRA;Midi-Pyrénées
Clermont-Ferrand;Clermont-Ferrand;45,77998212;3,080008096;185865,5;France;FR;FRA;Auvergne
Melun;Melun;48,53330243;2,666648314;144192,5;France;FR;FRA;Île-de-France
Arras;Arras;50,28332481;2,783333698;55608,5;France;FR;FRA;Nord-Pas-de-Calais
Besancon;Besancon;47,22999697;6,03000891;124193;France;FR;FRA;Franche-Comté
Saint-Georges;Saint-Georges;3,9104706;-51,81000065;1558;France;GF;FRA;Amapá
Saint-Etienne;Saint-Etienne;45,43039105;4,380032103;220982;France;FR;FRA;Rhône-Alpes
Grenoble;Grenoble;45,18038047;5,720001992;273563;France;FR;FRA;Rhône-Alpes
Fort-de-France;Fort-de-France;14,6104118;-61,08002914;172622;France;MQ;FRA;Martinique
Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;5,497624081;-54,03253459;20850,5;France;GF;FRA;Guinaa
Iracoubo;Iracoubo;5,480426452;-53,21999211;881;France;GF;FRA;Guinaa
Cherbourg;Cherbourg;49,65039187;-1,649987428;60991;France;FR;FRA;Basse-Normandie
